10.47.50.215,10.47.69.131,50004,5286,udp,5669,4248,1421,2670494,2502275,168219,1555360403,25,3
10.47.50.215,10.47.69.131,50004,5286,udp,5669,4248,1421,2670494,2502275,168219,1555360403,25,3
10.47.50.215,10.47.69.131,50004,5286,udp,5669,4248,1421,2670494,2502275,168219,1555360403,25,3
10.47.50.215,10.47.69.131,50004,5286,udp,5669,4248,1421,2670494,2502275,168219,1555360403,25,3
10.47.50.215,10.47.69.131,50004,5286,udp,5669,4248,1421,2670494,2502275,168219,1555360403,25,3
10.47.50.215,10.47.69.131,50004,5286,udp,5669,4248,1421,2670494,2502275,168219,1555360403,25,3
10.47.50.215,10.47.69.131,50004,5286,udp,5669,4248,1421,2670494,2502275,168219,1555360403,25,3
10.47.50.215,10.47.69.131,50004,5286,udp,5669,4248,1421,2670494,2502275,168219,1555360403,25,3
10.47.50.215,10.47.69.131,50004,5286,udp,5669,4248,1421,2670494,2502275,168219,1555360403,25,3
10.47.50.215,10.47.69.131,50004,5286,udp,5669,4248,1421,2670494,2502275,168219,1555360403,25,3
10.47.50.215,10.47.69.131,50004,5286,udp,5669,4248,1421,2670494,2502275,168219,1555360403,25,3
80.249.99.148,10.47.50.215,http,57658,tcp,62834,50821,12013,76892044,76231500,660544,1555360447,39,4
10.47.50.215,80.249.99.148,57662,http,tcp,21041,5403,15638,23747532,293420,23454112,1555360459,27,4
80.249.99.148,10.47.50.215,http,57658,tcp,62834,50821,12013,76892044,76231500,660544,1555360447,39,4
10.47.50.215,80.249.99.148,57662,http,tcp,21041,5403,15638,23747532,293420,23454112,1555360459,27,4
80.249.99.148,10.47.50.215,http,57658,tcp,62834,50821,12013,76892044,76231500,660544,1555360447,39,4
10.47.50.215,80.249.99.148,57662,http,tcp,21041,5403,15638,23747532,293420,23454112,1555360459,27,4
80.249.99.148,10.47.50.215,http,57658,tcp,62834,50821,12013,76892044,76231500,660544,1555360447,39,4
10.47.50.215,80.249.99.148,57662,http,tcp,21041,5403,15638,23747532,293420,23454112,1555360459,27,4
80.249.99.148,10.47.50.215,http,57658,tcp,62834,50821,12013,76892044,76231500,660544,1555360447,39,4
10.47.50.215,80.249.99.148,57662,http,tcp,21041,5403,15638,23747532,293420,23454112,1555360459,27,4
80.249.99.148,10.47.50.215,http,57658,tcp,62834,50821,12013,76892044,76231500,660544,1555360447,39,4
10.47.50.215,80.249.99.148,57662,http,tcp,21041,5403,15638,23747532,293420,23454112,1555360459,27,4
80.249.99.148,10.47.50.215,http,57658,tcp,62834,50821,12013,76892044,76231500,660544,1555360447,39,4
10.47.50.215,80.249.99.148,57662,http,tcp,21041,5403,15638,23747532,293420,23454112,1555360459,27,4
80.249.99.148,10.47.50.215,http,57658,tcp,62834,50821,12013,76892044,76231500,660544,1555360447,39,4
10.47.50.215,80.249.99.148,57662,http,tcp,21041,5403,15638,23747532,293420,23454112,1555360459,27,4
80.249.99.148,10.47.50.215,http,57658,tcp,62834,50821,12013,76892044,76231500,660544,1555360447,39,4
10.47.50.215,80.249.99.148,57662,http,tcp,21041,5403,15638,23747532,293420,23454112,1555360459,27,4
80.249.99.148,10.47.50.215,http,57658,tcp,62834,50821,12013,76892044,76231500,660544,1555360447,39,4
10.47.50.215,80.249.99.148,57662,http,tcp,21041,5403,15638,23747532,293420,23454112,1555360459,27,4
80.249.99.148,10.47.50.215,http,57658,tcp,62834,50821,12013,76892044,76231500,660544,1555360447,39,4
10.47.50.215,80.249.99.148,57662,http,tcp,21041,5403,15638,23747532,293420,23454112,1555360459,27,4
80.249.99.148,10.47.50.215,http,57658,tcp,62834,50821,12013,76892044,76231500,660544,1555360447,39,4
10.47.50.215,80.249.99.148,57662,http,tcp,21041,5403,15638,23747532,293420,23454112,1555360459,27,4
80.249.99.148,10.47.50.215,http,57658,tcp,62834,50821,12013,76892044,76231500,660544,1555360447,39,4
10.47.50.215,80.249.99.148,57662,http,tcp,21041,5403,15638,23747532,293420,23454112,1555360459,27,4
